,conditional_volatility
2020-05-22,0.00698965743656649
2020-05-25,0.007020105395010898
2020-05-26,0.0068983804814356725
2020-05-27,0.006656402581766535
2020-05-28,0.006583693019645261
2020-05-29,0.0063924360963184485
2020-06-01,0.006172619657064641
2020-06-02,0.0062672369958107
2020-06-03,0.007822262844367704
2020-06-04,0.007838412142171633
2020-06-05,0.00755122323552222
2020-06-08,0.007235895045438996
2020-06-09,0.007044951055281241
2020-06-10,0.008202190578898474
2020-06-11,0.008062581629674829
2020-06-12,0.007928752816162269
2020-06-15,0.0075804802941569745
2020-06-16,0.01297775927412179
2020-06-17,0.012266100484730147
2020-06-18,0.011966978763879674
2020-06-19,0.013020506641425861
2020-06-22,0.013903902197405761
2020-06-23,0.013197434286480647
2020-06-24,0.013153109926061167
2020-06-25,0.012441824847462153
2020-06-26,0.012930133028401788
2020-06-29,0.013572476202149221
2020-06-30,0.012864537008280668
2020-07-01,0.012846906513480924
2020-07-02,0.01216116810333389
2020-07-03,0.011534658911699285
2020-07-06,0.01105037650496173
2020-07-07,0.01052312998996736
2020-07-08,0.010103776557844666
2020-07-09,0.00966279593299288
2020-07-10,0.009447322784173604
2020-07-13,0.009060037722128858
2020-07-14,0.008924473728481928
2020-07-15,0.009221893345671138
2020-07-16,0.011103744721127538
2020-07-17,0.01072920145996526
2020-07-20,0.0113066561347465
2020-07-21,0.01145961576487386
2020-07-22,0.01088202652920304
2020-07-23,0.010880052329078994
2020-07-24,0.010347801356881438
2020-07-27,0.010879289877419967
2020-07-28,0.010445422073011686
2020-07-29,0.010032767755669589
2020-07-30,0.009529097481291694
2020-07-31,0.009059788023630612
2020-08-03,0.008902549754360927
2020-08-04,0.00855281070537126
2020-08-05,0.00919170217784384
2020-08-06,0.008857450203927413
2020-08-07,0.008468600841792427
2020-08-10,0.008182502579926743
2020-08-11,0.008003907565596765
2020-08-12,0.007786177076385584
2020-08-13,0.007533536340553102
2020-08-14,0.007346353896974791
2020-08-17,0.007477622996947974
2020-08-18,0.00720370425621036
2020-08-19,0.007237629566183639
2020-08-20,0.00723221662589828
2020-08-21,0.0070014699011286775
2020-08-24,0.006937547638811481
2020-08-25,0.006693150100089555
2020-08-26,0.006647739635723474
2020-08-27,0.006415272445372965
2020-08-28,0.006193677969603315
2020-08-31,0.006065373435847337
2020-09-01,0.005926426950797114
2020-09-02,0.00575262705504632
2020-09-03,0.005869201450206612
2020-09-04,0.005705794537751004
2020-09-07,0.005763657868463822
2020-09-08,0.005739985313690294
2020-09-09,0.005579322237665372
2020-09-10,0.00551927689835687
2020-09-11,0.005379752059081492
2020-09-14,0.005322781542542335
2020-09-15,0.005278609384768895
2020-09-16,0.005167018860862605
2020-09-17,0.005065243501069282
2020-09-18,0.005067258864972792
2020-09-21,0.005117423004656029
2020-09-22,0.00551757638589697
2020-09-23,0.005404858091880924
2020-09-24,0.00568820008394686
2020-09-25,0.005831926525544263
2020-09-28,0.006311118463981791
2020-09-29,0.006168808309605975
2020-09-30,0.006268012679240444
2020-10-01,0.006278919904433131
2020-10-02,0.006660942725759165
2020-10-05,0.0074685723401314895
2020-10-06,0.007308367131907064
2020-10-07,0.007010114419736877
2020-10-08,0.00698692310979165
2020-10-09,0.006937999647937626
2020-10-12,0.007475667704974616
2020-10-13,0.007517213596926532
2020-10-14,0.007393077918043329
2020-10-15,0.007419575410995352
2020-10-16,0.007195148862835876
2020-10-19,0.00716644096440651
2020-10-20,0.007938624266864796
2020-10-21,0.007941629782255313
2020-10-22,0.007686778511131326
2020-10-23,0.00803290493673932
2020-10-26,0.010969910068662818
2020-10-27,0.01041049149006871
2020-10-28,0.010699783866775033
2020-10-29,0.011731058561450647
2020-10-30,0.011682498143126194
2020-11-02,0.011056784667474983
2020-11-03,0.01076040051901265
2020-11-04,0.010440227242378598
2020-11-05,0.010024965807161336
2020-11-06,0.00989203072889464
2020-11-09,0.009826736512199414
2020-11-10,0.00935854212457501
2020-11-11,0.009716966944387838
2020-11-12,0.009231441430105864
2020-11-13,0.01087789188642856
2020-11-16,0.010317192207082933
2020-11-17,0.00979180043007826
2020-11-18,0.00931038254821752
2020-11-19,0.010146439462461694
2020-11-20,0.009688824887261895
2020-11-23,0.009261900731860449
2020-11-24,0.00881514175943014
2020-11-25,0.009145126125969493
2020-11-26,0.011734872670850232
2020-11-27,0.011146217627658118
2020-11-30,0.01165003320095417
2020-12-01,0.012052326372987431
2020-12-02,0.011629747762041532
2020-12-03,0.011916424609484928
2020-12-04,0.011273476825749678
2020-12-07,0.011030388126848657
2020-12-08,0.012418744961489519
2020-12-09,0.011785512285491117
2020-12-10,0.013149281144451758
2020-12-11,0.013878486341742633
2020-12-14,0.013156552925580923
2020-12-15,0.012901584537598305
2020-12-16,0.01619114033655713
2020-12-17,0.01580360183045396
2020-12-18,0.016594793326025512
2020-12-21,0.015677959987553357
2020-12-22,0.014911479655498919
2020-12-23,0.016440328454069182
2020-12-24,0.015746293067523835
2020-12-25,0.016101952007246435
2020-12-28,0.017422214904211822
2020-12-29,0.01681819471442797
2020-12-30,0.01657951889936204
2020-12-31,0.01650808712043451
2021-01-01,0.015919298625885696
2021-01-04,0.018394637627246586
2021-01-05,0.01938204475151501
2021-01-06,0.018283662026488567
2021-01-07,0.017240779296596547
2021-01-08,0.01748893854091586
2021-01-11,0.01669351807126306
2021-01-12,0.01573710760064938
2021-01-13,0.01543626377489876
2021-01-14,0.01516872426385614
2021-01-15,0.01503577787546281
2021-01-18,0.015467599229011935
2021-01-19,0.015305555694216856
2021-01-20,0.015470373426616512
2021-01-21,0.01539149334212475
2021-01-22,0.014523301309223805
2021-01-25,0.014069689563890375
2021-01-26,0.013673290843865368
2021-01-27,0.014600538093488779
2021-01-28,0.013783589665161173
2021-01-29,0.01663150666480837
2021-02-01,0.016519012812685866
2021-02-02,0.015587761048501349
2021-02-03,0.015200009276832424
2021-02-04,0.016357472656743026
2021-02-05,0.015483910767876962
2021-02-08,0.014787431876468318
2021-02-09,0.0143178052200565
2021-02-10,0.014156303312719823
2021-02-11,0.013475823783772678
2021-02-12,0.012830413430809933
2021-02-15,0.012227028785747432
2021-02-16,0.01166381300341412
2021-02-17,0.011258591466019237
2021-02-18,0.011448837218066178
2021-02-19,0.010845780771807829
2021-02-22,0.010455180848141047
2021-02-23,0.010364774373804933
2021-02-24,0.011343227687618133
2021-02-25,0.011725540912173938
2021-02-26,0.01136975058206925
2021-03-01,0.013341023543536838
2021-03-02,0.012710480374200814
2021-03-03,0.012119738570567942
2021-03-04,0.015022461702309284
2021-03-05,0.014269331814243951
2021-03-08,0.013917444371978342
2021-03-09,0.01318054097478539
2021-03-10,0.012625840923801179
2021-03-11,0.012873587326740507
2021-03-12,0.013346760038351045
2021-03-15,0.014123356124868312
2021-03-16,0.013620729603388176
2021-03-17,0.013007358318207492
2021-03-18,0.012616229035089811
2021-03-19,0.012917646104532986
2021-03-22,0.01242792059545395
2021-03-23,0.013577907294974491
2021-03-24,0.014737017270518979
2021-03-25,0.014309861436989453
2021-03-26,0.014453466007402384
2021-03-29,0.01380211111622547
2021-03-30,0.013237929493186773
2021-03-31,0.013655034770289943
2021-04-01,0.01658673212960428
2021-04-02,0.017248178599685422
2021-04-05,0.016431596634529463
2021-04-06,0.01738665553101351
2021-04-07,0.018315115702700595
2021-04-08,0.01778955143944314
2021-04-09,0.018218806775375934
2021-04-12,0.01719474014905379
2021-04-13,0.016291802317496232
2021-04-14,0.016182977270096537
2021-04-15,0.01663492655288671
2021-04-16,0.015695457705512783
2021-04-19,0.01494925963839068
2021-04-20,0.014216115171206734
2021-04-21,0.014179002331077389
2021-04-22,0.01381114008635634
2021-04-23,0.013141314096752479
2021-04-26,0.013032220895392665
2021-04-27,0.012452817951871488
2021-04-28,0.012322919907211705
2021-04-29,0.011654516416915523
2021-04-30,0.011226367111579134
2021-05-03,0.01152477730501428
2021-05-04,0.012276007985522072
2021-05-05,0.012100531537908726
2021-05-06,0.011712287655221065
2021-05-07,0.012294183557253278
2021-05-10,0.011837608246653749
2021-05-11,0.011284602307903346
2021-05-12,0.012193371712914347
2021-05-13,0.011720414164158928
2021-05-14,0.01149061086462843
2021-05-17,0.011037340505891039
2021-05-18,0.012505264865643686
2021-05-19,0.012086225814339461
2021-05-20,0.01143179475978588
2021-05-21,0.012547092892697035
2021-05-24,0.012311070687141096
2021-05-25,0.013002304610829157
2021-05-26,0.01249123792847855
2021-05-27,0.011925336068793632
2021-05-28,0.01193943190063012
2021-05-31,0.011497274420001103
2021-06-01,0.011166489667999428
2021-06-02,0.011711103431154184
2021-06-03,0.011291885981803302
2021-06-04,0.010962009829096016
2021-06-07,0.010440909024571333
2021-06-08,0.011300205825834443
2021-06-09,0.011576247954611506
2021-06-10,0.012370884566974943
2021-06-11,0.013394219201550274
2021-06-14,0.012664711287960314
2021-06-15,0.01198521852666241
2021-06-16,0.011458297896818723
2021-06-17,0.011754767371073949
2021-06-18,0.0112121741114166
2021-06-21,0.011518157915545377
2021-06-22,0.010949959835591298
2021-06-23,0.010452383582713838
2021-06-24,0.010350820179932597
2021-06-25,0.010090160844035417
2021-06-28,0.009702103343096031
2021-06-29,0.009761399936116955
2021-06-30,0.00950110587773146
2021-07-01,0.010325079914045243
2021-07-02,0.00985562143842124
2021-07-05,0.009711800291661821
2021-07-06,0.009376784988775677
2021-07-07,0.00893024472258287
2021-07-08,0.009266279222650206
2021-07-09,0.008918606342459515
2021-07-12,0.008493398637884652
2021-07-13,0.008941289217197121
2021-07-14,0.009328530140097591
2021-07-15,0.009506055147063932
2021-07-16,0.010800587712602193
2021-07-19,0.010784435536531684
2021-07-20,0.010854925527034844
2021-07-21,0.010939322272513579
2021-07-22,0.011269391217380798
2021-07-23,0.010688750153273145
2021-07-26,0.010315206121106726
2021-07-27,0.01117467076052324
2021-07-28,0.010587666208778018
2021-07-29,0.010113828148317728
2021-07-30,0.009676762761679693
2021-08-02,0.009874230316552995
2021-08-03,0.010470017313334745
2021-08-04,0.010258178563887763
2021-08-05,0.010028054958929585
2021-08-06,0.009638393656847984
2021-08-09,0.011088061362229335
2021-08-10,0.013120323816278907
2021-08-11,0.015910236925201996
2021-08-12,0.01511287790374649
2021-08-13,0.015142848999333923
2021-08-16,0.014284956036607963
2021-08-17,0.015534798795046349
2021-08-18,0.014651701234129422
2021-08-19,0.014384995016181746
2021-08-20,0.013734045465568893
2021-08-23,0.013012712036809471
2021-08-24,0.012569236608419515
2021-08-25,0.012330479060657809
2021-08-26,0.01334852100104078
2021-08-27,0.012874510027613854
2021-08-30,0.01263906403055421
2021-08-31,0.012308197714273883
2021-09-01,0.011930559691676626
2021-09-02,0.01145729916463754
2021-09-03,0.011064898718329436
2021-09-06,0.010637720556806528
2021-09-07,0.010482401804501464
2021-09-08,0.010069606359222558
2021-09-09,0.009573080623789837
2021-09-10,0.00911599582037412
2021-09-13,0.008830774608749611
2021-09-14,0.008414783914668544
2021-09-15,0.00811271243411001
2021-09-16,0.007841069678656755
2021-09-17,0.007592855343108966
2021-09-20,0.007450734598713362
2021-09-21,0.007140307418011984
2021-09-22,0.008482369451775116
2021-09-23,0.008711854625223284
2021-09-24,0.008519982749752244
2021-09-27,0.008133458094721277
2021-09-28,0.008020876036168766
2021-09-29,0.007707821415355287
2021-09-30,0.0076138476680215166
2021-10-01,0.007296042917544899
2021-10-04,0.007060461578311122
2021-10-05,0.0071517842632684925
2021-10-06,0.006944179323389957
2021-10-07,0.0068010749833507635
